gene,ensembl_id,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_detected_cells,CTRL_Young_detection_percentage
ZNF235,ENSG00000159917,643,53.1404958677686,200,43.7636761487965,605,45.90288315629742
ERCC1,ENSG00000012061,829,68.51239669421487,230,50.32822757111597,762,57.81487101669196
SNRPD2,ENSG00000125743,1167,96.44628099173553,438,95.84245076586433,1249,94.76479514415782
CALM3,ENSG00000160014,957,79.0909090909091,397,86.87089715536105,1216,92.26100151745068
ARHGAP35,ENSG00000160007,653,53.96694214876033,263,57.54923413566739,939,71.2443095599393
TMEM160,ENSG00000130748,664,54.87603305785124,218,47.70240700218819,925,70.18209408194234
NOP53,ENSG00000105373,1023,84.54545454545455,369,80.74398249452955,902,68.43702579666162
SELENOW,ENSG00000178980,828,68.4297520661157,329,71.99124726477024,1184,89.83308042488619
KDELR1,ENSG00000105438,985,81.40495867768594,394,86.2144420131291,1087,82.47344461305008
RPL18,ENSG00000063177,1210,100.0,457,100.0,1318,100.0
BAX,ENSG00000087088,899,74.29752066115702,237,51.85995623632385,719,54.55235204855842
FTL,ENSG00000087086,1208,99.83471074380165,457,100.0,1318,100.0
SNRNP70,ENSG00000104852,984,81.32231404958678,350,76.58643326039387,1042,79.05918057663126
PIH1D1,ENSG00000104872,632,52.231404958677686,218,47.70240700218819,707,53.64188163884673
RPL13A,ENSG00000142541,1210,100.0,457,100.0,1318,100.0
RPS11,ENSG00000142534,1210,100.0,457,100.0,1318,100.0
PRMT1,ENSG00000126457,1082,89.42148760330578,416,91.02844638949672,1227,93.09559939301973
PTOV1,ENSG00000104960,855,70.66115702479338,326,71.33479212253829,990,75.11380880121396
ZNF83,ENSG00000167766,685,56.611570247933884,240,52.516411378555794,731,55.46282245827011
ZNF677,ENSG00000197928,637,52.64462809917355,215,47.04595185995623,864,65.55386949924127
NDUFA3,ENSG00000170906,870,71.900826446281,347,75.92997811816193,1075,81.56297420333838
PRPF31,ENSG00000105618,614,50.743801652892564,175,38.29321663019694,550,41.7298937784522
TSEN34,ENSG00000170892,617,50.99173553719009,160,35.010940919037196,587,44.537177541729896
RPS9,ENSG00000170889,1210,100.0,457,100.0,1318,100.0
TTYH1,ENSG00000167614,1189,98.26446280991735,178,38.949671772428886,456,34.59787556904401
RPL28,ENSG00000108107,1210,100.0,457,100.0,1318,100.0
ZNF814,ENSG00000204514,605,50.0,260,56.89277899343544,690,52.35204855842185
ZSCAN18,ENSG00000121413,655,54.132231404958674,241,52.735229759299784,629,47.72382397572079
ZNF544,ENSG00000198131,749,61.90082644628099,239,52.29759299781181,705,53.490136570561454
RPS5,ENSG00000083845,1210,100.0,457,100.0,1318,100.0
TRIM28,ENSG00000130726,861,71.15702479338843,302,66.08315098468272,940,71.32018209408194
CHMP2A,ENSG00000130724,1055,87.19008264462809,366,80.0875273522976,1131,85.81183611532626
UBE2M,ENSG00000130725,828,68.4297520661157,324,70.89715536105032,1056,80.12139605462822
PSMF1,ENSG00000125818,699,57.768595041322314,204,44.63894967177243,766,58.11836115326252
FKBP1A,ENSG00000088832,754,62.314049586776854,327,71.55361050328227,1045,79.28679817905918
NSFL1C,ENSG00000088833,621,51.32231404958678,202,44.201312910284464,686,52.04855842185129
SNRPB,ENSG00000125835,1016,83.96694214876032,351,76.80525164113786,955,72.45827010622155
NOP56,ENSG00000101361,763,63.057851239669425,235,51.42231947483589,771,58.497723823975726
PTPRA,ENSG00000132670,1144,94.54545454545455,420,91.90371991247265,1230,93.32321699544764
MRPS26,ENSG00000125901,844,69.75206611570248,207,45.29540481400438,791,60.01517450682853
DNAAF9,ENSG00000088854,833,68.84297520661157,350,76.58643326039387,1139,86.41881638846738
ATRN,ENSG00000088812,615,50.82644628099173,239,52.29759299781181,769,58.34597875569044
PANK2,ENSG00000125779,725,59.917355371900825,252,55.14223194748359,687,52.12443095599393
RNF24,ENSG00000101236,695,57.438016528925615,405,88.62144420131291,1150,87.25341426403642
TMEM230,ENSG00000089063,760,62.8099173553719,251,54.92341356673961,755,57.28376327769348
PCNA,ENSG00000132646,673,55.619834710743795,157,34.35448577680525,387,29.362670713201823
GPCPD1,ENSG00000125772,644,53.223140495867774,177,38.7308533916849,602,45.6752655538695
PLCB4,ENSG00000101333,853,70.49586776859505,258,56.455142231947484,519,39.37784522003035
ESF1,ENSG00000089048,885,73.14049586776859,325,71.11597374179432,890,67.52655538694992
SNRPB2,ENSG00000125870,1113,91.98347107438016,433,94.74835886214443,1245,94.46130500758724
DSTN,ENSG00000125868,1187,98.09917355371901,438,95.84245076586433,1306,99.08952959028832
